date,open,high,low,close,volume
1/2/62,14.4361,14.4361,14.2739,14.2739,387200
1/3/62,14.2739,14.3987,14.2739,14.3987,288000
1/4/62,14.3987,14.3987,14.249,14.2552,256000
1/5/62,14.2365,14.2365,13.9495,13.9745,363200
1/8/62,13.962,13.962,13.6002,13.7125,544000
1/9/62,13.7748,14.0493,13.7748,13.8747,491200
1/10/62,13.8996,13.962,13.8996,13.8996,299200
1/11/62,13.937,14.0493,13.937,14.0493,315200
1/12/62,14.0743,14.1741,14.0743,14.0743,435200
1/15/62,14.1242,14.1679,14.1242,14.1367,251200
1/16/62,14.1242,14.1242,13.987,13.987,251200
1/17/62,13.9246,13.9246,13.7249,13.7624,419200
1/18/62,13.7998,13.937,13.7998,13.7998,371200
1/19/62,13.7998,13.8372,13.6501,13.8123,400000
1/22/62,13.8123,13.9495,13.7748,13.7873,275200
1/23/62,13.7811,13.7998,13.6251,13.6501,371200
1/24/62,13.6501,13.7249,13.5814,13.7249,408000
1/25/62,13.7249,13.8372,13.5503,13.5752,315200
1/26/62,13.5752,13.6251,13.5003,13.5066,243200
1/29/62,13.5066,13.6002,13.2758,13.2758,579200
1/30/62,13.2758,13.3506,13.1073,13.1073,736000
1/31/62,13.2383,13.5253,13.2383,13.5253,760000
2/1/62,13.6625,13.8747,13.6625,13.8372,640000
2/2/62,13.8372,13.9246,13.7748,13.9246,507200
2/5/62,13.9246,13.9246,13.675,13.7499,312000
2/6/62,13.7499,13.7748,13.7,13.7624,256000
2/7/62,13.7748,13.8497,13.7748,13.7748,251200
2/8/62,13.7748,13.8497,13.7748,13.7873,16000
2/9/62,13.7873,13.8871,13.7249,13.8871,432000
2/12/62,13.8871,13.9994,13.8747,13.8996,280000
2/13/62,13.8996,13.9121,13.675,13.675,256000
2/14/62,13.675,13.7249,13.6251,13.6501,208000
2/15/62,13.6501,13.6501,13.5877,13.6002,227200
2/16/62,13.6002,13.6501,13.5877,13.5877,219200
2/19/62,13.5877,13.6501,13.4255,13.4504,280000
2/20/62,13.4567,13.5253,13.4567,13.4567,288000
2/21/62,13.4567,13.5503,13.3569,13.3569,363200
2/23/62,13.3756,13.4255,13.3756,13.4005,288000
2/26/62,13.4005,13.413,13.3257,13.3506,299200
2/27/62,13.3506,13.4629,13.2758,13.3756,347200
2/28/62,13.3756,13.4005,13.3007,13.4005,267200
3/1/62,13.4504,13.5627,13.4504,13.5627,280000
3/2/62,13.675,13.7499,13.675,13.675,243200
3/5/62,13.675,13.675,13.5752,13.6251,360000
3/6/62,13.6251,13.6875,13.6002,13.6376,184000
3/7/62,13.6376,13.6813,13.6002,13.6813,123200
3/8/62,13.6813,13.7125,13.6002,13.7125,184000
3/9/62,13.7249,13.7998,13.7249,13.7998,288000
3/12/62,13.7998,13.8372,13.7499,13.7873,280000
3/13/62,13.7873,13.7873,13.7249,13.7748,123200
3/14/62,13.7748,13.8123,13.7249,13.7499,195200
3/15/62,13.7499,13.8248,13.7249,13.7249,243200
3/16/62,13.7249,13.7873,13.7249,13.7873,160000
3/19/62,13.8123,13.8747,13.8123,13.8248,371200
3/20/62,13.7998,13.7998,13.7374,13.7374,160000
3/21/62,13.7374,13.7748,13.7,13.7499,256000
3/22/62,13.7,13.7,13.6002,13.6002,240000
3/23/62,13.6126,13.675,13.6126,13.6501,184000
3/26/62,13.6501,13.7,13.6251,13.6438,131200
3/27/62,13.6126,13.6126,13.3756,13.388,347200
3/28/62,13.4005,13.5003,13.4005,13.4629,328000
3/29/62,13.4629,13.5253,13.4255,13.4255,227200
3/30/62,13.4005,13.4005,13.2321,13.2945,435200
4/2/62,13.2882,13.2882,13.1136,13.1136,371200
4/3/62,13.1011,13.1011,12.6519,12.7891,912000
4/4/62,12.7891,12.9014,12.733,12.733,648000
4/5/62,12.8016,13.0013,12.8016,13.0013,912000
4/6/62,13.0013,13.1011,12.9014,12.9888,432000
4/9/62,12.9888,13.0636,12.9014,13.0013,16000
4/10/62,13.0013,13.0512,12.9264,13.0512,256000
4/11/62,13.0512,13.151,12.8765,12.8765,528000
4/12/62,12.8765,12.9014,12.7392,12.7392,400000
4/13/62,12.7392,12.9264,12.7268,12.9264,627200
4/16/62,12.9264,13.0137,12.7767,12.9139,507200
4/17/62,12.9139,12.9763,12.8515,12.9763,299200
4/18/62,12.9763,13.0886,12.9389,12.9513,424000
4/19/62,12.9513,13.0013,12.9014,12.9513,387200
4/23/62,12.9513,12.9638,12.889,12.9389,312000
4/24/62,12.9389,13.02,12.9139,12.9264,456000
4/25/62,12.9264,12.9763,12.7891,12.7891,459200
4/26/62,12.7767,12.7767,12.4647,12.4647,928000
4/27/62,12.4647,12.602,11.9781,12.1154,1632000
4/30/62,12.1154,12.2277,11.2295,11.3293,2344000
5/1/62,11.3293,11.5913,10.7304,11.5289,5315200
5/2/62,11.7286,12.0779,11.7286,11.791,2555200
5/3/62,11.791,12.0779,11.7036,12.0343,1360000
5/4/62,12.0343,12.1279,11.9157,12.1279,779200
5/7/62,12.1279,12.2214,11.8596,11.8596,827200
5/8/62,11.8439,11.8439,11.4666,11.4666,1032000
5/9/62,11.4666,11.5726,11.2295,11.2544,1600000
5/10/62,11.2544,11.4728,11.2045,11.3044,1907200
5/11/62,11.3044,11.479,11.0798,11.1297,1896000
5/14/62,11.1297,11.3418,10.9363,11.3418,2728000
5/15/62,11.3418,11.5539,11.2794,11.2794,1683200
5/16/62,11.2794,11.4666,11.2794,11.4042,880000
5/17/62,11.4042,11.4042,11.1546,11.2045,971200
5/18/62,11.2045,11.2669,11.1172,11.2669,731200
5/21/62,11.2669,11.2669,11.1297,11.2295,395200
5/22/62,11.217,11.217,10.8552,10.8552,1000000
5/23/62,10.8552,10.93,10.3623,10.3623,2891200
5/24/62,10.3623,10.6306,9.9319,9.9319,4152000
5/25/62,9.9319,10.1565,9.6823,9.9443,4299200
5/28/62,9.9069,9.9069,8.8588,9.0085,4320000
5/29/62,9.1208,9.6574,9.1208,9.5575,3856000
5/31/62,9.7322,9.9818,9.7322,9.7946,4128000
6/1/62,9.7572,9.7572,9.5513,9.6075,2411200
6/4/62,9.4827,9.4827,8.9836,8.9836,1811200
6/5/62,8.9836,9.333,8.8089,9.0867,3160000
6/6/62,9.0867,9.3829,9.0335,9.1208,2880000
6/7/62,9.1832,9.333,9.1832,9.2331,1227200
6/8/62,9.2394,9.3829,9.2394,9.2643,1168000
6/11/62,9.2643,9.283,8.9462,8.9586,1187200
6/12/62,8.8588,8.8588,8.3627,8.3627,3328000
6/13/62,8.3627,8.5594,8.0416,8.051,4384000
6/14/62,8.051,8.2786,7.4863,7.6361,6675200
6/15/62,7.6361,8.3473,7.4988,8.3223,6328000
